ID,Name,Description,Contributor,Citation,Text_Number,Media_IDs,Clause_Count,Speaker,Speaker_Gender,Speaker_Age,Speaker_Age_Approximated,Speaker_Year_Born,Speaker_Year_Born_Approximated,Type,Year_Recorded,Recording_Length,Source
all1,all1,,Chenxi Meng,"Meng, Chenxi. 2021. Multi-CAST Tulil. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tulil) (date accessed)",1,all1_mp3 all1_wav all1_eaf all1_xml all1_tsv,32,TL01,male,53,no,1959,no,TN,2012,320.98580498866215,meng2018
alrm,alrm,,Chenxi Meng,"Meng, Chenxi. 2021. Multi-CAST Tulil. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tulil) (date accessed)",2,alrm_mp3 alrm_wav alrm_eaf alrm_xml alrm_tsv,186,TL01,male,55,no,1959,no,AN,2014,1382.6786394557823,meng2018
jkpp,jkpp,,Chenxi Meng,"Meng, Chenxi. 2021. Multi-CAST Tulil. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tulil) (date accessed)",3,jkpp_mp3 jkpp_wav jkpp_eaf jkpp_xml jkpp_tsv,110,TL02,male,74,no,1940,no,AN,2014,1528.0419727891156,meng2018
lnsl,lnsl,,Chenxi Meng,"Meng, Chenxi. 2021. Multi-CAST Tulil. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tulil) (date accessed)",4,lnsl_mp3 lnsl_wav lnsl_eaf lnsl_xml lnsl_tsv,60,TL03,male,55,yes,1960,yes,TN,2014,387.03020408163263,meng2018
lrdw,lrdw,,Chenxi Meng,"Meng, Chenxi. 2021. Multi-CAST Tulil. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tulil) (date accessed)",5,lrdw_mp3 lrdw_wav lrdw_eaf lrdw_xml lrdw_tsv,53,TL04,male,77,no,1930,no,TN,2007,504.012335600907,meng2018
sves,sves,,Chenxi Meng,"Meng, Chenxi. 2021. Multi-CAST Tulil. In Haig, Geoffrey & Schnell, Stefan (eds.), Multi-CAST: Multilingual corpus of annotated spoken texts. Version 2101. Bamberg: University of Bamberg. (multicast.aspra.uni-bamberg.de/#tulil) (date accessed)",6,sves_mp3 sves_wav sves_eaf sves_xml sves_tsv,60,TL05,female,80,yes,1930,yes,TN,2014,308.8021768707483,meng2018
