ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Affiliation,Areas,Varieties
mctulil,Tulil,Papunesia,-4.44425,152.095,taul1251,,"Papuan, Taulil-Butam","East New Britain, Papua New Guinea",Tulil
en,English,,,,stan1293,,,,
